"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LHBRPO-IG8F1-CBFNO6","FTMbJmTPSIAoCLrZ3aWZkSBvrjn9Wv","2025-02-14 20:32:16","deposit","","currency","fiat","EUR","spot / main",381.9821,0,381.9832
"LGFYGW-WQC38-HYF9SX","MECOSFO-GYR3X-KXWNRE","2025-02-14 22:18:09","trade","tradespot","currency","fiat","EUR","spot / main",-187.2514,0.7490,193.9828
"LK8PK3-YR9OU-DOCUZR","MECOSFO-GYR3X-KXWNRE","2025-02-14 22:18:09","trade","tradespot","currency","crypto","BTC","spot / main",0.0020104289,0,0.0030521628
"LENUN5-Z3JQI-P98Q1Z","XOI65FD-HJK1E-YY37Q9","2025-02-16 18:23:05","trade","tradespot","currency","fiat","EUR","spot / main",-193.9818,0,0.0010
"LAH8RV-HS1K3-AQ6L6G","XOI65FD-HJK1E-YY37Q9","2025-02-16 18:23:05","trade","tradespot","currency","crypto","BTC","spot / main",0.0021553528,0.0000053897,0.0052021259
"LT6MJX-K87AU-5BHXTP","FTdp4K8ffUF0eWIXiiQE8JkqH3MB9n","2025-02-17 21:33:04","deposit","","currency","fiat","EUR","spot / main",572.9731,0,572.9741
"L8MTZX-272HP-OEVB9O","OAEDOEC-VE6PR-5N8I4P","2025-02-24 10:39:48","trade","tradespot","currency","fiat","EUR","spot / main",-190.9910,0.4775,381.5056
"L40MGG-1W103-DGDZVG","OAEDOEC-VE6PR-5N8I4P","2025-02-24 10:39:48","trade","tradespot","currency","crypto","BTC","spot / main",0.0020912601,0,0.0072933860
"LPMM82-I1LR3-PE29GD","8AFPK05-4NZDK-YAYQ3S","2025-02-25 17:19:59","trade","tradespot","currency","fiat","EUR","spot / main",-114.5944,0.2865,266.6247
"L195JM-SND8D-UDD467","8AFPK05-4NZDK-YAYQ3S","2025-02-25 17:19:59","trade","tradespot","currency","crypto","BTC","spot / main",0.0013599822,0,0.0086533682
"LKD6FL-EEPZH-PCF07U","QNUPQZI-T3UEA-3GE8N6","2025-02-25 23:09:14","trade","tradespot","currency","fiat","EUR","spot / main",-190.9648,0.7638,74.8961
"LQIWEP-XSK28-T7A9TG","QNUPQZI-T3UEA-3GE8N6","2025-02-25 23:09:14","trade","tradespot","currency","crypto","BTC","spot / main",0.0022700430,0,0.0109234112
"LIQHG9-JRSNV-NQ65QD","FTfOB1rcavXiOqkVCJTBJahe84S5jI","2025-02-28 18:05:32","deposit","","currency","fiat","EUR","spot / main",381.9821,0,456.8782
"LCX9J1-ICTXC-WNPGW9","0JPKL0B-LV0PR-KGYC4O","2025-03-01 12:53:27","trade","tradespot","currency","fiat","EUR","spot / main",-190.9909,0.4775,265.4098
